,Dice
CHGJ007,0.89727
CHGJ008,0.76344
CHGJ010,0.65684
CHGJ013,0.84568
CHGJ015,0.75272
CHGJ016,0.88043
CHGJ017,0.86754
CHGJ018,0.78456
CHGJ025,0.8924
CHGJ026,0.85423
CHGJ028,0.66427
CHGJ029,0.44005
CHGJ030,0.73597
CHGJ031,0.85327
CHGJ032,0.68557
CHGJ034,0.69031
CHGJ035,0.93036
CHGJ036,0.90304
CHGJ037,0.87623
CHGJ038,0.78003
CHGJ039,0.66828
CHGJ043,0.89362
CHGJ046,0.899
CHGJ048,0.85239
CHGJ050,0.87717
CHGJ052,0.78195
CHGJ053,0.7874
CHGJ055,0.72045
CHGJ057,0.59412
CHGJ058,0.65027
CHGJ062,0.87825
CHGJ065,0.80948
CHGJ066,0.89663
CHGJ067,0.0
CHGJ069,0.4884
CHGJ070,0.67688
CHGJ071,0.83012
CHGJ072,0.6072
CHGJ073,0.84278
CHGJ074,0.77514
CHGJ076,0.84849
CHGJ077,0.56276
CHGJ078,0.88066
CHGJ080,0.82474
CHGJ081,0.70112
CHGJ082,0.00094
CHGJ083,0.75639
CHGJ085,0.80713
CHGJ086,0.45412
CHGJ087,0.54674
CHGJ088,0.80846
CHGJ089,0.12827
CHGJ090,0.0
CHGJ091,0.88577
CHGJ092,0.77238
CHMR001,0.82962
CHMR004,0.72969
CHMR005,0.84434
CHMR011,0.46796
CHMR012,0.62807
CHMR013,0.32147
CHMR014,0.0
CHMR016,0.87261
CHMR020,0.0067
CHMR021,0.69497
CHMR023,0.0
CHMR024,0.7145
CHMR025,0.82476
CHMR028,0.7059
CHMR029,0.69101
CHMR030,0.08777
CHMR034,0.71266
CHMR040,0.77207
CHUM001,0.76608
CHUM002,0.82954
CHUM006,0.46807
CHUM007,0.67647
CHUM008,0.90979
CHUM011,0.84236
CHUM012,0.93091
CHUM013,0.0
CHUM014,0.0
CHUM015,0.22687
CHUM016,0.7718
CHUM017,0.89473
CHUM018,0.00869
CHUM019,0.85463
CHUM021,0.88665
CHUM022,0.59861
CHUM023,0.44842
CHUM024,0.92217
CHUM026,0.381
CHUM027,0.88644
CHUM029,0.74709
CHUM030,0.94441
CHUM032,0.74407
CHUM033,0.86167
CHUM034,0.89736
CHUM035,0.50394
CHUM036,0.0
CHUM037,0.70982
CHUM038,0.0
CHUM039,0.90833
CHUM040,0.0
CHUM041,0.46742
CHUM042,0.89404
CHUM043,0.44484
CHUM044,0.8178
CHUM045,0.59826
CHUM046,0.04167
CHUM047,0.03993
CHUM048,0.58155
CHUM049,0.83622
CHUM050,0.89363
CHUM051,0.85116
CHUM053,0.88915
CHUM054,0.23063
CHUM055,0.94751
CHUM056,0.47802
CHUM057,0.75768
CHUM058,0.0
CHUM059,0.03484
CHUM060,0.90936
CHUM061,0.59858
CHUM062,0.91959
CHUM063,0.65607
CHUM064,0.92011
CHUM065,0.57358
CHUS003,0.32178
CHUS004,0.74631
CHUS005,0.19387
CHUS006,0.83181
CHUS007,0.81169
CHUS008,0.65881
CHUS009,0.77618
CHUS010,0.41005
CHUS013,0.75327
CHUS015,0.36835
CHUS016,0.88272
CHUS019,0.87007
CHUS020,0.55032
CHUS022,0.7307
CHUS026,0.19768
CHUS027,0.92674
CHUS028,0.0
CHUS030,0.0
CHUS031,0.90604
CHUS033,0.00181
CHUS035,0.41942
CHUS036,0.34172
CHUS038,0.91964
CHUS039,0.74385
CHUS040,0.76655
CHUS041,0.78179
CHUS042,0.80837
CHUS043,0.91592
CHUS045,0.71078
CHUS046,0.73665
CHUS047,0.71212
CHUS048,0.70693
CHUS049,0.48587
CHUS050,0.0
CHUS051,0.36689
CHUS052,0.90193
CHUS053,0.61343
CHUS055,0.84063
CHUS056,0.93655
CHUS057,0.67988
CHUS058,0.34419
CHUS060,0.84917
CHUS061,0.00592
CHUS064,0.74972
CHUS065,0.70236
CHUS066,0.5724
CHUS067,0.72173
CHUS068,0.88016
CHUS069,0.0
CHUS073,0.52542
CHUS074,0.6715
CHUS076,0.79714
CHUS077,0.86943
CHUS078,0.19647
CHUS080,0.89141
CHUS081,0.89594
CHUS083,0.85401
CHUS085,0.78174
CHUS086,0.84372
CHUS087,0.9237
CHUS088,0.90365
CHUS089,0.34096
CHUS090,0.85996
CHUS091,0.8318
CHUS094,0.8537
CHUS095,0.54054
CHUS096,0.41261
CHUS097,0.88769
CHUS098,0.6081
CHUS100,0.75294
CHUS101,0.81644
