,Dice,Jaccard,Intersection,Union
CHGJ007,0.9266795090095128,0.8633763327909346,15394.0,17830.0
CHGJ008,0.7866473193728526,0.6483253708706298,1897.0,2926.0
CHGJ010,0.7468278098593468,0.5959498943153428,618.0,1037.0
CHGJ013,0.8838495607342489,0.7918731520380003,1598.0,2018.0
CHGJ015,0.8832035660064758,0.7908366742194548,794.0,1004.0
CHGJ016,0.9273207266455432,0.8644902072878934,8606.0,9955.0
CHGJ017,0.9066435989389495,0.8292296991630502,13101.0,15799.0
CHGJ018,0.8658484079904349,0.7634326986247827,4021.0,5267.0
CHGJ025,0.9092357538412249,0.8335767861176668,8560.0,10269.0
CHGJ026,0.8422653677886252,0.727511596174473,4707.0,6470.0
CHGJ028,0.806573281072918,0.6758465157631369,1497.0,2215.0
CHGJ029,0.7186597505107019,0.5608656843223008,622.0,1109.0
CHGJ030,0.8686440724348845,0.7677902766672736,1230.0,1602.0
CHGJ031,0.8775413716847567,0.781802866035055,10208.0,13057.0
CHGJ032,0.8800923654941059,0.785861567426758,2668.0,3395.0
CHGJ034,0.8244837801257675,0.7013801881480473,1677.0,2391.0
CHGJ035,0.9412988220325998,0.8891071842587386,4073.0,4581.0
CHGJ036,0.9132993679141805,0.8404332726502848,10397.0,12371.0
CHGJ037,0.6890370065612847,0.5255960812483156,2998.0,5704.0
CHGJ038,0.6254803484262438,0.4550537751601339,2116.0,4650.0
CHGJ039,0.807017554439827,0.6764706179714506,736.0,1088.0
CHGJ043,0.9204464504041284,0.8526176880390426,5814.0,6819.0
CHGJ046,0.9137855583298764,0.8412570519283785,11484.0,13651.0
CHGJ048,0.875070091538241,0.7778885477231727,7803.0,10031.0
CHGJ050,0.9291932063206305,0.8677505713517342,8753.0,10087.0
CHGJ052,0.7324719395790735,0.5778743456592799,1729.0,2992.0
CHGJ053,2.4894199031760045e-08,2.4894199031760045e-08,0.0,4017.0
CHGJ055,0.5788156885151025,0.40727701269727073,1388.0,3408.0
CHGJ057,0.7194520624807654,0.5618314265369522,1313.0,2337.0
CHGJ058,0.8619946128842423,0.757460930485034,1599.0,2111.0
CHGJ062,0.7874713373594363,0.6494455458656792,7555.0,11633.0
CHGJ065,0.8543266775289013,0.745698325916586,10011.0,13425.0
CHGJ066,0.8235294141676278,0.7000000069444443,3024.0,4320.0
CHGJ067,9.42506979971067e-08,9.42506979971067e-08,0.0,1061.0
